code,description,brochures,product_url
10-038-24-07,"Brain knive, acc. to Virchow, with hollow handle, cutting length 240 mm, length 38 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-038-24-07/
10-040-01-07,"Modeling knife handle, acc. to Nagata, small, length 12 cm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-040-01-07/
10-040-02-07,"Modeling knife handle, acc. to Nagata, big, length 12 cm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-040-02-07/
10-040-03-07,"Modeling knife blade, acc. to Nagata, length 3.0 mm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-040-03-07/
10-040-04-07,"Modeling knife blade, acc. to Nagata, length 4.5 mm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-040-04-07/
10-040-05-07,"Modeling knife blade, acc. to Nagata, length 6.0 mm",Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-040-05-07/
10-090-09-07,"Blade holder, acc. to Troutman-Chris, handle diameter 5.5 mm, length 9 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-090-09-07/
10-092-11-07,Discontinued / No Description Found,General Surgery,https://www.klsmartin.com/shop/en/products/product/10-092-11-07/
10-094-13-07,"Blade holder, acc. to Castroviejo, handle diameter 8 mm, length 13 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-094-13-07/
10-096-00-07,Discontinued / No Description Found,Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-096-00-07/
10-100-04-07,"Scalpel handle, no. 4, length 13.5 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-100-04-07/
10-100-34-07,"Scalpel handle, solid, scalpel handle nr. 3 & 4, length 16 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-100-34-07/
10-104-41-07,"Scalpel handle, no. 4 L, length 21 cm",90-100-48-07 General | General Surgery (https://www.klsmartin.com/mediathek/90-100-48-07_General_Surgery.pdf); 90-132-48-04 Cardio | Cardio Thoracic and Vascular Surgery (https://www.klsmartin.com/mediathek/90-132-48-04_Cardio_Thoracic_and_Vascular_Surgery.pdf); 90-424-48-04 Neuro | Neurosurgery (https://www.klsmartin.com/mediathek/90-424-48-04_Neurosurgery_catalog.pdf); 90-272-48-04 Plastic | Plastische Chirurgie (https://www.klsmartin.com/mediathek/90-272-48-04_Plastic_surgery_catalog.pdf),https://www.klsmartin.com/shop/en/products/product/10-104-41-07/
10-104-45-07,"Scalpel handle, solid, angled 45°, scalpel handle nr. 4L, length 20.5 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-104-45-07/
10-108-08-07,Discontinued / No Description Found,Plastic Surgery,https://www.klsmartin.com/shop/en/products/product/10-108-08-07/
10-109-09-07,"Scalpel handle, acc. to Collin, with hollow handle, scalpel handle nr. 9, length 14.5 cm",General Surgery,https://www.klsmartin.com/shop/en/products/product/10-109-09-07/
10-112-04-07,Discontinued / No Description Found,General Surgery,https://www.klsmartin.com/shop/en/products/product/10-112-04-07/
10-118-03-07,"Scalpel handle, with swivel head, length 15.5 cm",General Surgery; Oral and maxillofacial surgery,https://www.klsmartin.com/shop/en/products/product/10-118-03-07/
